Disease|Description
subdural hemorrhage|A subdural hemorrhage is bleeding between the brain surface and its outer covering, usually from head trauma. Symptoms include headache, confusion, weakness, and loss of consciousness. Treatment ranges from monitoring to surgical drainage depending on severity.
diabetic retinopathy|Diabetic retinopathy is a diabetes complication causing damage to the blood vessels of the retina. Symptoms include blurred vision, floaters, or vision loss. Treatment includes blood sugar control, laser therapy, anti-VEGF injections, or vitrectomy in advanced cases.
fibromyalgia|Fibromyalgia is a chronic disorder causing widespread musculoskeletal pain, fatigue, and cognitive issues ("fibro fog"). Symptoms also include sleep disturbances and mood problems. Treatment includes exercise, cognitive behavioral therapy, pain relievers, and medications like duloxetine or pregabalin.
ischemia of the bowel|Ischemia of the bowel occurs when blood flow to the intestines is reduced, leading to tissue damage. Symptoms include sudden abdominal pain, nausea, vomiting, and bloody stools. Treatment includes fluid resuscitation, antibiotics, surgery to remove dead tissue, and treating the underlying cause.
fetal alcohol syndrome|Fetal alcohol syndrome results from alcohol consumption during pregnancy, causing developmental abnormalities. Symptoms include facial deformities, growth deficiencies, learning disabilities, and behavioral problems. There is no cure; treatment focuses on educational support and behavioral therapy.
peritonitis|Peritonitis is inflammation of the peritoneum, often due to infection or perforation. Symptoms include severe abdominal pain, fever, nausea, and bloating. Treatment requires hospitalization, antibiotics, and possibly surgery to treat the source of infection.
injury to the abdomen|Abdominal injuries can result from blunt or penetrating trauma. Symptoms include abdominal pain, bruising, internal bleeding, or organ damage. Treatment depends on the injury's nature and severity and may include observation, surgery, or supportive care.
acute pancreatitis|Acute pancreatitis is sudden inflammation of the pancreas, often due to gallstones or alcohol use. Symptoms include severe upper abdominal pain, nausea, vomiting, fever, and a tender abdomen. Treatment includes fasting, IV fluids, pain management, and addressing the underlying cause such as gallstone removal or alcohol cessation.
thrombophlebitis|Thrombophlebitis is inflammation of a vein due to a blood clot, commonly in the legs. Symptoms include redness, warmth, swelling, and tenderness over the affected vein. Treatment includes compression stockings, anti-inflammatory medications, and anticoagulants in cases of deep vein involvement.
asthma|Asthma is a chronic inflammatory disease of the airways characterized by wheezing, coughing, chest tightness, and shortness of breath. Symptoms can worsen with triggers like allergens or cold air. Treatment includes inhaled corticosteroids, bronchodilators, and avoiding triggers.
foreign body in the vagina|This condition occurs when an object is lodged inside the vaginal canal, often in children or due to tampon use. Symptoms may include foul-smelling discharge, bleeding, or pain. Treatment involves careful removal, sometimes under sedation, and treating any resulting infection.
restless leg syndrome|Restless leg syndrome is a neurological condition causing an uncontrollable urge to move the legs, especially at night. Symptoms include tingling or crawling sensations that improve with movement. Treatment includes iron supplementation (if deficient), dopamine agonists, and lifestyle changes.
emphysema|Emphysema is a chronic lung condition involving damage to the alveoli, leading to breathlessness and reduced oxygen exchange. Common symptoms are chronic cough, wheezing, and shortness of breath. Treatment includes smoking cessation, bronchodilators, corticosteroids, and pulmonary rehabilitation.
cysticercosis|Cysticercosis is an infection caused by the larval stage of the pork tapeworm, often affecting the brain or muscles. Symptoms vary but may include seizures, headaches, or lumps under the skin. Treatment includes antiparasitic drugs like albendazole, corticosteroids, and in some cases, surgery.
induced abortion|Induced abortion is the medical or surgical termination of pregnancy. Symptoms post-procedure may include bleeding, cramping, and hormonal changes. Treatment involves safe abortion practices, pain management, and follow-up care to ensure no complications.
teething syndrome|Teething syndrome refers to the process in infants when teeth break through the gums. Symptoms include drooling, irritability, gum swelling, and a tendency to chew on objects. Treatment includes gentle gum massage, teething toys, and occasionally acetaminophen for pain relief.
infectious gastroenteritis|Infectious gastroenteritis is inflammation of the stomach and intestines caused by bacteria, viruses, or parasites. Symptoms include diarrhea, vomiting, abdominal cramps, and fever. Treatment includes hydration, rest, and in some cases, antibiotics or antiparasitic medications.
acute sinusitis|Acute sinusitis is the inflammation of the sinuses usually caused by a viral or bacterial infection. Symptoms include facial pain, nasal congestion, headache, and thick nasal discharge. Treatment includes nasal decongestants, saline sprays, and antibiotics if bacterial.
substance-related mental disorder|This refers to mental health conditions caused by the abuse of drugs or alcohol, including depression, anxiety, or psychosis. Symptoms vary by substance but can include mood swings, hallucinations, and cognitive impairment. Treatment includes detoxification, psychotherapy, and substance use rehabilitation.
postpartum depression|Postpartum depression is a mood disorder affecting women after childbirth. Symptoms include sadness, anxiety, fatigue, and difficulty bonding with the baby. Treatment includes counseling, support groups, and antidepressant medications when necessary.
coronary atherosclerosis|Coronary atherosclerosis is the buildup of plaque in the arteries of the heart, reducing blood flow. Symptoms can include chest pain, shortness of breath, and fatigue. Treatment includes lifestyle changes, cholesterol-lowering medications, and potentially procedures like angioplasty or bypass surgery.
spondylitis|Spondylitis refers to inflammation of the vertebrae, commonly seen in conditions like ankylosing spondylitis. Symptoms include back pain, stiffness, and reduced spinal mobility. Treatment includes NSAIDs, physical therapy, and biologic medications in autoimmune types.
pituitary adenoma|A pituitary adenoma is a usually benign tumor of the pituitary gland. Symptoms include vision changes, hormone imbalances, and headaches. Treatment includes surgery, medications to shrink the tumor or balance hormones, and occasionally radiation.
uterine fibroids|Uterine fibroids are noncancerous growths of the uterus that often appear during childbearing years. Symptoms may include heavy menstrual bleeding, pelvic pain, and frequent urination. Treatment options include hormonal therapy, uterine artery embolization, or surgical removal.
idiopathic nonmenstrual bleeding|This refers to abnormal uterine bleeding without a clear cause, often not related to menstruation. Symptoms include irregular spotting or bleeding. Treatment may involve hormonal regulation with birth control or further evaluation to exclude structural causes.
chalazion|A chalazion is a blocked oil gland in the eyelid that causes a painless lump. Symptoms include localized swelling, redness, and sometimes blurred vision. Treatment includes warm compresses, gentle massage, and, in resistant cases, surgical drainage.
ovarian torsion|Ovarian torsion is the twisting of the ovary, cutting off its blood supply. Symptoms include sudden, severe lower abdominal pain, nausea, and vomiting. Treatment is emergency surgery to untwist or remove the ovary to prevent tissue death.
retinopathy due to high blood pressure|Retinopathy due to high blood pressure (hypertensive retinopathy) is damage to the retina from prolonged high blood pressure. Symptoms may include blurry vision, double vision, or vision loss. Treatment involves controlling blood pressure with medications, lifestyle changes, and regular eye exams.
vaginal yeast infection|Vaginal yeast infection is caused by an overgrowth of Candida fungus in the vaginal area. Symptoms include itching, burning, thick white discharge, and irritation. Treatment includes antifungal creams, suppositories, or oral medications like fluconazole.
mastoiditis|Mastoiditis is an infection of the mastoid bone behind the ear, often following untreated ear infections. Symptoms include ear pain, swelling behind the ear, fever, and drainage. Treatment includes antibiotics and, in severe cases, surgical drainage or mastoidectomy.
lung contusion|Lung contusion is bruising of lung tissue due to trauma, leading to bleeding and swelling. Symptoms include chest pain, shortness of breath, coughing up blood, and low oxygen levels. Treatment includes oxygen therapy, pain control, and supportive care; severe cases may need ventilation.
hypertrophic obstructive cardiomyopathy (hocm)|HOCM is a genetic condition where the heart muscle thickens, obstructing blood flow. Symptoms include chest pain, shortness of breath, fainting, and palpitations. Treatment includes beta blockers, calcium channel blockers, and in some cases, surgical interventions like septal myectomy or ICD placement.
ingrown toe nail|An ingrown toenail occurs when the edge of a nail grows into the surrounding skin, causing pain, redness, swelling, and infection. Treatment includes warm soaks, proper nail trimming, antibiotics if infected, and sometimes surgical removal of the nail edge.
pulmonary eosinophilia|Pulmonary eosinophilia is a condition where eosinophils (a type of white blood cell) accumulate in the lungs due to infections, allergens, or autoimmune diseases. Symptoms include cough, fever, wheezing, and shortness of breath. Treatment depends on the cause and may involve corticosteroids or antiparasitic drugs.
corneal disorder|Corneal disorders include a range of conditions affecting the transparent front layer of the eye, such as infections, injuries, or degenerations. Symptoms include eye pain, redness, blurred vision, and light sensitivity. Treatment varies and may involve eye drops, antibiotics, or surgery like corneal transplant.
foreign body in the gastrointestinal tract|This occurs when a non-food object is ingested and becomes lodged in the digestive tract. Symptoms include pain, vomiting, difficulty swallowing, or bleeding. Treatment often involves endoscopic removal; surgery may be needed in complicated cases.
endophthalmitis|Endophthalmitis is a severe inflammation of the interior of the eye, usually due to infection after surgery or trauma. Symptoms include pain, decreased vision, swelling, and redness. It is a medical emergency and requires prompt antibiotic injections or surgery.
intestinal malabsorption|Intestinal malabsorption is the inability to absorb nutrients properly due to diseases like celiac disease, Crohn’s, or infections. Symptoms include weight loss, diarrhea, bloating, and fatigue. Treatment depends on the underlying cause and may involve dietary changes, enzyme supplements, or medications.
viral warts|Viral warts are skin growths caused by the human papillomavirus (HPV). They are commonly found on hands, feet, or genital areas. Symptoms include raised, rough bumps. Treatment includes topical salicylic acid, cryotherapy, laser therapy, or immune-modulating treatments.
hyperhidrosis|Hyperhidrosis is excessive sweating not related to heat or exercise, usually affecting hands, feet, armpits, or face. It can cause embarrassment and skin infections. Treatment includes antiperspirants, Botox injections, medications, and in severe cases, surgery to remove sweat glands.
stroke|A stroke occurs when blood supply to part of the brain is interrupted or reduced, leading to brain damage. Symptoms include sudden weakness, slurred speech, facial drooping, and vision changes. Treatment includes clot-busting drugs, surgery, and rehabilitation; prevention involves controlling risk factors like hypertension.
pilonidal cyst|A pilonidal cyst is a fluid-filled sac near the tailbone, often containing hair and skin debris. Symptoms include pain, redness, and pus drainage. Treatment includes drainage, antibiotics for infection, and surgical removal for recurrent cases.
crushing injury|A crushing injury occurs when a body part is subjected to a high degree of force or pressure. Symptoms include severe pain, swelling, bruising, and potential tissue death. Treatment may involve emergency surgery, fluids, pain management, and preventing complications like compartment syndrome.
normal pressure hydrocephalus|Normal pressure hydrocephalus is a buildup of cerebrospinal fluid in the brain’s ventricles with normal pressure. Symptoms include walking difficulties, dementia-like symptoms, and urinary incontinence. Treatment typically involves surgical placement of a ventriculoperitoneal shunt to drain fluid.
alopecia|Alopecia is hair loss from the scalp or other parts of the body. It can be caused by autoimmune diseases, genetics, or stress. Symptoms include patchy or total hair loss. Treatment includes topical minoxidil, corticosteroids, or immunotherapy, depending on the type.
hashimoto thyroiditis|Hashimoto thyroiditis is an autoimmune disorder in which the immune system attacks the thyroid, leading to hypothyroidism. Symptoms include fatigue, weight gain, cold intolerance, and dry skin. Treatment involves lifelong thyroid hormone replacement therapy.
flat feet|Flat feet is a condition where the arches of the feet collapse, leading to the entire sole touching the ground. Symptoms include foot pain, swelling, and difficulty standing for long periods. Treatment includes arch supports, physical therapy, and in severe cases, corrective surgery.
nonalcoholic liver disease (nash)|Nonalcoholic liver disease (NASH) is a condition where fat builds up in the liver without alcohol use, leading to inflammation and liver damage. Symptoms may be absent or include fatigue and right upper abdominal pain. Treatment involves weight loss, a healthy diet, exercise, and controlling conditions like diabetes and high cholesterol.
hemarthrosis|Hemarthrosis is bleeding into a joint cavity, often due to trauma, bleeding disorders like hemophilia, or anticoagulant use. Symptoms include joint pain, swelling, stiffness, and limited movement. Treatment involves rest, ice, aspiration of blood, pain control, and treating underlying bleeding disorders.
pelvic organ prolapse|Pelvic organ prolapse occurs when pelvic organs like the bladder or uterus drop into or outside the vaginal canal due to weak pelvic muscles. Symptoms include pressure, urinary incontinence, or discomfort during sex. Treatment includes pelvic floor exercises, pessaries, or surgical repair.
fracture of the arm|A fracture of the arm is a break in one of the bones of the upper limb, often caused by trauma or falls. Symptoms include pain, swelling, deformity, and inability to move the arm. Treatment includes immobilization with a cast or splint, pain relief, and sometimes surgical fixation.
coagulation (bleeding) disorder|Coagulation disorders involve problems with blood clotting, leading to excessive bleeding or clot formation. Symptoms include frequent nosebleeds, easy bruising, heavy menstrual bleeding, or prolonged bleeding after injury. Treatment depends on the cause and may include clotting factor replacement, anticoagulants, or other medications.
intracranial hemorrhage|Intracranial hemorrhage is bleeding inside the skull, usually due to trauma, aneurysm, or high blood pressure. Symptoms include headache, vomiting, confusion, weakness, and loss of consciousness. It is a medical emergency requiring immediate imaging and often surgery or medications to reduce brain pressure.
hyperkalemia|Hyperkalemia is a high level of potassium in the blood, often caused by kidney failure, medications, or tissue damage. Symptoms may include muscle weakness, fatigue, palpitations, or arrhythmias. Treatment includes medications like diuretics, calcium gluconate, insulin with glucose, or dialysis.
cornea infection|Cornea infection (keratitis) is inflammation of the cornea caused by bacteria, viruses, fungi, or parasites. Symptoms include eye redness, pain, tearing, sensitivity to light, and blurred vision. Treatment depends on the cause and may include antibiotic, antiviral, or antifungal eye drops.
abscess of the lung|A lung abscess is a localized infection in the lung tissue causing pus-filled cavities, often due to bacterial infection. Symptoms include fever, cough with foul-smelling sputum, chest pain, and fatigue. Treatment involves antibiotics and sometimes drainage or surgery if the abscess is large or persistent.
dengue fever|Dengue fever is a mosquito-borne viral illness found in tropical areas. Symptoms include high fever, severe headache, joint and muscle pain, rash, and bleeding. There is no specific treatment, but supportive care with fluids and pain relief is essential. Severe cases may require hospitalization.
chronic sinusitis|Chronic sinusitis is long-term inflammation of the sinuses, often due to infection, allergies, or nasal polyps. Symptoms include nasal congestion, facial pain, postnasal drip, and reduced sense of smell. Treatment includes nasal corticosteroids, saline rinses, antibiotics if bacterial, and surgery in severe cases.
cholesteatoma|Cholesteatoma is an abnormal skin growth in the middle ear that can erode nearby structures. Symptoms include hearing loss, ear discharge, and fullness or pain. Treatment typically involves surgical removal to prevent complications like infection or damage to hearing and balance structures.
volvulus|Volvulus is a twisting of the intestine that can block blood flow and cause obstruction. Symptoms include severe abdominal pain, bloating, vomiting, and constipation. It is a surgical emergency requiring untwisting of the bowel and sometimes resection if tissue is necrotic.
injury to the finger|Injuries to the finger include cuts, fractures, sprains, or dislocations, usually due to trauma. Symptoms vary based on injury type but often include pain, swelling, bruising, and limited movement. Treatment includes cleaning wounds, splinting, pain control, and sometimes surgery.
poisoning due to analgesics|This occurs when pain-relief medications like acetaminophen or NSAIDs are taken in excessive amounts. Symptoms depend on the drug but may include nausea, confusion, liver or kidney failure, and coma. Treatment involves activated charcoal, antidotes like N-acetylcysteine, and supportive care.
atrial fibrillation|Atrial fibrillation is an irregular and often rapid heart rhythm that can cause poor blood flow. Symptoms include palpitations, fatigue, shortness of breath, and dizziness. Treatment includes medications for rate/rhythm control, blood thinners to prevent clots, and sometimes cardioversion or ablation.
pinworm infection|Pinworm infection is a parasitic disease caused by *Enterobius vermicularis*, common in children. Symptoms include anal itching, restlessness, and disturbed sleep. Treatment includes antiparasitic medications like mebendazole or albendazole and hygiene measures to prevent reinfection.
urethral valves|Urethral valves are congenital abnormal flaps in the male urethra that obstruct urine flow. Symptoms may include urinary retention, poor stream, and recurrent infections. Diagnosis is through imaging and treatment often involves endoscopic valve ablation or surgery.
open wound of the neck|An open wound of the neck can result from trauma or surgery and carries risks due to vital structures nearby. Symptoms include bleeding, pain, and visible tissue damage. Treatment involves wound cleaning, closure, antibiotics, and monitoring for complications like infection or airway obstruction.
achalasia|Achalasia is a rare esophageal disorder where the lower esophageal sphincter fails to relax, causing difficulty swallowing. Symptoms include regurgitation, chest pain, and weight loss. Treatment includes pneumatic dilation, medications, Botox injections, or surgical procedures like Heller myotomy.
conductive hearing loss|Conductive hearing loss occurs when sound waves cannot efficiently pass through the outer or middle ear. It may be caused by earwax buildup, ear infections, fluid in the middle ear, or structural abnormalities. Symptoms include muffled hearing and a feeling of fullness in the ear. Treatment depends on the cause and may involve earwax removal, antibiotics for infections, surgical repair, or hearing aids.
abdominal hernia|An abdominal hernia occurs when an internal organ or tissue pushes through a weak spot in the abdominal wall. Symptoms may include a visible bulge, pain, or discomfort, especially during physical activity. Treatment often involves surgical repair to prevent complications such as strangulation of the herniated tissue.
cerebral palsy|Cerebral palsy is a group of neurological disorders that affect movement, muscle tone, and posture, caused by brain damage during development. Symptoms include muscle stiffness, coordination issues, and developmental delays. Treatment includes physical and occupational therapy, medications for muscle control, and sometimes surgery.
marijuana abuse|Marijuana abuse refers to the excessive or harmful use of cannabis, leading to dependence or negative impact on daily life. Symptoms include impaired memory, altered judgment, anxiety, and decreased motivation. Treatment may include counseling, behavioral therapy, and support groups.
cryptococcosis|Cryptococcosis is a fungal infection caused by *Cryptococcus* species, commonly affecting the lungs or central nervous system, particularly in immunocompromised individuals. Symptoms include cough, fever, headache, and confusion. Treatment involves antifungal medications like amphotericin B and fluconazole.
obesity|Obesity is a condition characterized by excessive body fat, increasing the risk of diseases such as diabetes, heart disease, and certain cancers. Symptoms include high BMI and physical limitations. Treatment involves dietary changes, exercise, behavioral therapy, medications, and in some cases, bariatric surgery.
indigestion|Indigestion, or dyspepsia, refers to discomfort or pain in the upper abdomen, often related to eating. Symptoms include bloating, nausea, burping, and a burning sensation. Treatment includes lifestyle modifications, antacids, H2 blockers, and proton pump inhibitors.
bursitis|Bursitis is inflammation of the bursa, small fluid-filled sacs that cushion bones, tendons, and muscles. Commonly affects shoulders, elbows, or hips. Symptoms include joint pain, swelling, and limited movement. Treatment includes rest, ice, anti-inflammatory medications, and sometimes corticosteroid injections.
esophageal cancer|Esophageal cancer involves malignant growth in the esophagus. Symptoms include difficulty swallowing, weight loss, chest pain, and hoarseness. Treatment depends on the stage and may include surgery, radiation therapy, chemotherapy, or targeted therapy.
pulmonary congestion|Pulmonary congestion refers to fluid accumulation in the lungs, often due to heart failure. Symptoms include shortness of breath, coughing, and wheezing. Treatment involves diuretics, oxygen therapy, and addressing the underlying heart condition.
juvenile rheumatoid arthritis|Juvenile rheumatoid arthritis is an autoimmune disorder in children causing persistent joint inflammation. Symptoms include joint pain, swelling, stiffness, and fatigue. Treatment involves NSAIDs, DMARDs, corticosteroids, and physical therapy.
actinic keratosis|Actinic keratosis is a rough, scaly patch on the skin caused by long-term sun exposure and may develop into skin cancer. Symptoms include small, dry, or crusty patches on sun-exposed areas. Treatment includes cryotherapy, topical medications, and laser therapy.
acute otitis media|Acute otitis media is a sudden infection of the middle ear, common in children. Symptoms include ear pain, fever, irritability, and hearing loss. Treatment includes pain relievers, antibiotics if bacterial, and sometimes ear tubes for recurrent cases.
astigmatism|Astigmatism is a common vision condition caused by an irregularly shaped cornea or lens. Symptoms include blurry or distorted vision, eye strain, and headaches. Treatment includes corrective lenses or refractive surgery.
tuberous sclerosis|Tuberous sclerosis is a genetic disorder causing noncancerous tumors in various organs, especially the brain, skin, kidneys, and heart. Symptoms include seizures, developmental delay, and skin abnormalities. Treatment focuses on symptom management with medications, surgery, or supportive therapies.
empyema|Empyema is the collection of pus in the pleural cavity, often due to pneumonia or lung infection. Symptoms include chest pain, cough, fever, and shortness of breath. Treatment involves antibiotics and drainage of the pleural space.
presbyacusis|Presbyacusis is age-related hearing loss due to gradual degeneration of inner ear structures. Symptoms include difficulty hearing high-pitched sounds and understanding speech in noisy environments. Treatment includes hearing aids and communication strategies.
neonatal jaundice|Neonatal jaundice is yellowing of a newborn's skin and eyes due to elevated bilirubin levels. It is common and usually harmless. Symptoms include yellow discoloration, sleepiness, and poor feeding. Treatment may include phototherapy or exchange transfusion in severe cases.
chronic obstructive pulmonary disease (copd)|COPD is a group of progressive lung diseases, including emphysema and chronic bronchitis. Symptoms include chronic cough, wheezing, shortness of breath, and fatigue. Treatment includes smoking cessation, bronchodilators, steroids, pulmonary rehab, and oxygen therapy.
dislocation of the elbow|Elbow dislocation occurs when the bones of the forearm move out of alignment with the humerus. Symptoms include severe pain, deformity, swelling, and inability to move the arm. Treatment involves reduction (repositioning), immobilization, and physical therapy.
spondylosis|Spondylosis is age-related degeneration of the spinal discs and joints, often affecting the neck or lower back. Symptoms include pain, stiffness, and sometimes nerve compression. Treatment includes physical therapy, pain medications, and occasionally surgery.
herpangina|Herpangina is a viral illness typically in children, caused by coxsackievirus. Symptoms include fever, sore throat, and small blisters or ulcers in the mouth and throat. Treatment is supportive with hydration and pain relief.
injury to the shoulder|Shoulder injuries can include strains, dislocations, fractures, or rotator cuff tears. Symptoms include pain, limited mobility, and swelling. Treatment depends on the type and may include rest, ice, physical therapy, or surgery.
poisoning due to antidepressants|Overdose or adverse reaction to antidepressants can lead to symptoms like confusion, seizures, irregular heartbeat, and coma. Common in tricyclic and SSRI overdose. Treatment includes activated charcoal, supportive care, and in severe cases, ICU monitoring or antidotes.
infection of open wound|Infection in an open wound occurs when bacteria enter broken skin. Symptoms include redness, warmth, pus, and increased pain. Treatment includes wound cleaning, antibiotics, and sometimes surgical debridement.
deep vein thrombosis (dvt)|Deep vein thrombosis (DVT) is the formation of a blood clot in a deep vein, usually in the legs. Symptoms include swelling, pain, redness, and warmth in the affected leg. It can lead to pulmonary embolism if the clot travels to the lungs. Treatment includes anticoagulant medications, compression stockings, and in severe cases, thrombolysis or surgical removal.
protein deficiency|Protein deficiency occurs when the body doesn't get enough protein, leading to muscle wasting, weakened immunity, and poor wound healing. Symptoms include fatigue, hair thinning, edema, and infections. Treatment involves dietary adjustments to include protein-rich foods like meat, dairy, legumes, and supplements if needed.
myoclonus|Myoclonus is a sudden, involuntary muscle jerk. It can be benign or associated with conditions like epilepsy or metabolic disorders. Symptoms include twitching or jerking of muscles, especially at rest or during sleep. Treatment depends on the cause and may include antiepileptic medications or muscle relaxants.
